Cod_Alu;Facultad;Escuela;Periodo;Ciclo;Sexo;Edad;Modalidad Academica
ALU_07672;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;20;Pregrado
ALU_04787;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;M;22;Pregrado
ALU_04776;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;24;Pregrado
ALU_07687;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;20;Pregrado
ALU_04786;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;20;Pregrado
ALU_11339;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;21;Pregrado
ALU_07681;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;19;Pregrado
ALU_07685;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;20;Pregrado
ALU_11340;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;20;Pregrado
ALU_04777;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;22;Pregrado
ALU_11325;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;18;Pregrado
ALU_11330;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;18;Pregrado
ALU_00985;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;26;Pregrado
ALU_04784;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;M;21;Pregrado
ALU_11040;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;19;Pregrado
ALU_07684;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;23;Pregrado
ALU_11315;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;19;Pregrado
ALU_10917;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;20;Pregrado
ALU_07688;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;21;Pregrado
ALU_11343;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;20;Pregrado
ALU_11326;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;M;18;Pregrado
ALU_07682;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;20;Pregrado
ALU_07686;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;22;Pregrado
ALU_07679;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;19;Pregrado
ALU_01800;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;27;Pregrado
ALU_10916;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;19;Pregrado
ALU_11344;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;20;Pregrado
ALU_11316;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;19;Pregrado
ALU_04767;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;M;21;Pregrado
ALU_11321;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;18;Pregrado
ALU_10807;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;M;20;Pregrado
ALU_04763;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;M;20;Pregrado
ALU_04747;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;20;Pregrado
ALU_04765;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;22;Pregrado
ALU_07658;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;M;21;Pregrado
ALU_04771;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;20;Pregrado
ALU_04757;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;21;Pregrado
ALU_02984;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;22;Pregrado
ALU_02795;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;21;Pregrado
ALU_02976;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;23;Pregrado
ALU_04789;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;M;23;Pregrado
ALU_04773;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;M;21;Pregrado
ALU_11318;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;20;Pregrado
ALU_04426;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;26;Pregrado
ALU_01802;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;24;Pregrado
ALU_10568;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;23;Pregrado
ALU_10290;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;20;Pregrado
ALU_07660;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;M;19;Pregrado
ALU_11332;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;20;Pregrado
ALU_04422;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;23;Pregrado
ALU_11346;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;21;Pregrado
ALU_02980;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;M;23;Pregrado
ALU_11328;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;19;Pregrado
ALU_02970;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;M;22;Pregrado
ALU_07675;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;20;Pregrado
ALU_02975;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;M;23;Pregrado
ALU_01798;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;M;26;Pregrado
ALU_07666;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;M;43;Pregrado
ALU_11324;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;M;19;Pregrado
ALU_11342;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;20;Pregrado
ALU_02972;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;26;Pregrado
ALU_02983;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;M;23;Pregrado
ALU_04756;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;M;24;Pregrado
ALU_10412;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;M;23;Pregrado
ALU_04743;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;22;Pregrado
ALU_02978;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;25;Pregrado
ALU_04772;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;M;24;Pregrado
ALU_04782;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;20;Pregrado
ALU_01793;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;23;Pregrado
ALU_11337;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;20;Pregrado
ALU_07131;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;23;Pregrado
ALU_04766;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;21;Pregrado
ALU_07674;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;20;Pregrado
ALU_04749;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;21;Pregrado
ALU_11341;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;23;Pregrado
ALU_11320;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;M;19;Pregrado
ALU_04762;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;M;24;Pregrado
ALU_04768;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;22;Pregrado
ALU_07133;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;21;Pregrado
ALU_02977;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;M;25;Pregrado
ALU_02988;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;23;Pregrado
ALU_07657;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;20;Pregrado
ALU_02979;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;21;Pregrado
ALU_04424;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;M;23;Pregrado
ALU_02971;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;22;Pregrado
ALU_02985;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;23;Pregrado
ALU_11331;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;21;Pregrado
ALU_07464;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;21;Pregrado
ALU_00704;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;M;30;Pregrado
ALU_07663;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;21;Pregrado
ALU_01795;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;25;Pregrado
ALU_02805;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;M;22;Pregrado
ALU_10289;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;20;Pregrado
ALU_02973;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;M;23;Pregrado
ALU_04779;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;M;25;Pregrado
ALU_02968;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;24;Pregrado
ALU_07662;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;21;Pregrado
ALU_07386;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;22;Pregrado
ALU_04769;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;24;Pregrado
ALU_01807;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;M;27;Pregrado
ALU_02989;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;30;Pregrado
ALU_04758;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;25;Pregrado
ALU_07676;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;22;Pregrado
ALU_02974;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;23;Pregrado
ALU_13612;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;M;19;Pregrado
ALU_11336;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;F;20;Pregrado
ALU_11333;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;M;27;Pregrado
ALU_04760;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;21;Pregrado
ALU_11322;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;M;22;Pregrado
ALU_11329;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;M;20;Pregrado
ALU_10808;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;M;20;Pregrado
